City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,callao,-12.0667,-77.15,22.620000000000005,77,20,5.66,PE,1698714269
66,mount gambier,-37.8333,140.7667,13.379999999999995,49,86,4.37,AU,1698714035
67,pandan,14.0453,124.1694,27.100000000000023,88,100,7.15,PH,1698714270
68,lompoc,34.6391,-120.4579,21.08000000000004,59,0,4.02,US,1698714270
69,nova vicosa,-17.8919,-39.3719,24.53000000000003,77,44,5.68,BR,1698714270
70,quelimane,-17.8786,36.8883,23.970000000000027,88,75,3.13,MZ,1698714271
71,luebo,-5.35,21.4167,21.180000000000007,99,100,1.0,CD,1698714271
72,kayangel,8.0823,134.7173,28.760000000000048,75,20,3.37,PW,1698714271
73,howard springs,-12.497,131.047,32.120000000000005,64,100,2.46,AU,1698714271
74,vilyuysk,63.7553,121.6247,-16.66999999999996,96,68,0.89,RU,1698714146
75,el alto,-4.2714,-81.2147,20.810000000000002,84,99,7.0,PE,1698714272
76,ilulissat,69.2167,-51.1,2.0100000000000477,51,6,7.2,GL,1698714272
77,hermanus,-34.4187,19.2345,13.920000000000016,78,0,6.86,ZA,1698714273
78,klaksvik,62.2266,-6.589,3.5100000000000477,66,68,8.03,FO,1698714273
79,dauphin,51.1494,-100.0502,-5.919999999999959,63,0,6.69,CA,1698714273
80,constantia,44.1833,28.65,12.610000000000014,79,3,3.35,RO,1698714273
81,adler,43.43,39.92,13.090000000000032,82,0,0.0,RU,1698714274
82,belmonte,-15.8631,-38.8828,24.060000000000002,73,100,4.46,BR,1698714275
83,happy valley-goose bay,53.3168,-60.3315,-2.829999999999984,50,20,4.63,CA,1698714275
84,udachny,66.4167,112.4,-21.159999999999968,99,100,2.59,RU,1698714275
85,soio,-6.1349,12.3689,25.55000000000001,88,70,4.08,AO,1698714275
86,bilibino,68.0546,166.4372,-14.989999999999952,78,77,1.08,RU,1698714276
87,ola,59.5833,151.2833,-1.5399999999999636,65,14,2.66,RU,1698714276
88,st. john's,47.5649,-52.7093,1.82000000000005,93,100,0.0,CA,1698714276
89,uturoa,-16.7333,-151.4333,26.450000000000045,79,7,7.96,PF,1698714276
90,puerto ayora,-0.7393,-90.3518,23.640000000000043,92,100,2.24,EC,1698714277
91,carnarvon,-24.8667,113.6333,24.410000000000025,48,0,4.85,AU,1698714224
92,atafu village,-8.5421,-172.5159,28.939999999999998,74,51,6.53,TK,1698714277
93,blackmans bay,-43.0167,147.3167,13.07000000000005,65,75,1.79,AU,1698714277
94,fale old settlement,-9.3852,-171.2468,28.620000000000005,77,100,6.93,TK,1698714277
95,villa hidalgo,21.6667,-102.6,20.430000000000007,44,26,1.43,MX,1698714278
96,tura,25.5198,90.2201,20.25,88,84,1.32,IN,1698714278
97,knyaze-volkonskoye,48.4642,135.4567,4.189999999999998,43,96,3.13,RU,1698714278
98,sandnessjoen,66.0217,12.6316,-2.9399999999999977,80,0,3.6,NO,1698714200
99,isafjordur,66.0755,-23.124,1.6000000000000227,73,67,1.94,IS,1698714279
100,kulhudhuffushi,6.6221,73.07,27.110000000000014,75,64,1.19,MV,1698714279
101,lebu,-37.6167,-73.65,8.150000000000034,79,94,3.9,CL,1698714162
102,okoneshnikovo,54.8377,75.0834,-4.259999999999991,96,100,5.35,RU,1698714280
103,nizhniy novgorod,56.3287,44.002,0.8799999999999955,100,100,1.0,RU,1698714057
104,amqui,48.4638,-67.4313,-1.089999999999975,96,100,0.54,CA,1698714281
105,bredasdorp,-34.5322,20.0403,13.800000000000011,78,0,6.76,ZA,1698714281
106,sidareja,-7.4846,108.7923,29.560000000000002,63,20,1.73,ID,1698714281
107,vazante,-17.9869,-46.9078,27.420000000000016,49,100,0.96,BR,1698714183
108,peace river,56.2501,-117.286,1.170000000000016,74,100,2.06,CA,1698714133
109,portland,45.5234,-122.6762,13.350000000000023,47,6,4.92,US,1698714062
110,ust'-barguzin,53.45,108.9833,-5.159999999999968,56,7,1.83,RU,1698714282
111,kilindoni,-7.9139,39.6668,25.930000000000007,83,97,5.24,TZ,1698714282
112,oamaru,-45.0784,170.9801,15.730000000000018,75,100,7.07,NZ,1698714283
113,rio grande,-32.035,-52.0986,21.060000000000002,93,100,4.3,BR,1698714283
114,mejit,10.2753,170.8646,27.930000000000007,80,100,8.36,MH,1698714283
115,arraial do cabo,-22.9661,-42.0278,24.920000000000016,88,0,1.54,BR,1698714158
116,zaozersk,69.4005,32.4476,-6.599999999999966,95,100,3.13,RU,1698714283
117,ardestan,33.3761,52.3694,16.78000000000003,39,100,1.39,IR,1698714283
118,bosaso,11.2842,49.1816,26.060000000000002,85,26,1.83,SO,1698714284
119,somerset east,-32.7217,25.588,8.430000000000007,73,0,1.9,ZA,1698714284
120,mananara,-16.1667,49.7667,23.04000000000002,89,24,1.0,MG,1698714284
121,bengkulu,-3.8004,102.2655,25.83000000000004,82,69,0.33,ID,1698714285
122,al bawiti,28.3492,28.8659,20.350000000000023,79,4,3.22,EG,1698714285
123,flin flon,54.7682,-101.865,-8.889999999999986,82,7,2.11,CA,1698714125
124,mirnyy,62.5353,113.9611,-20.42999999999998,76,20,1.79,RU,1698714285
125,kutum,14.2,24.6667,23.460000000000036,29,100,5.46,SD,1698714285
126,ghat,24.9647,10.1728,23.05000000000001,19,0,1.01,LY,1698714158
127,pahrump,36.2083,-115.9839,17.03000000000003,14,0,0.89,US,1698714286
128,horta,38.5333,-28.6333,19.450000000000045,84,89,9.39,PT,1698714286
129,papao,-17.75,-149.55,28.82000000000005,83,10,9.22,PF,1698714286
130,yamada,39.4667,141.95,16.379999999999995,61,0,0.64,JP,1698714286
131,ghadamis,30.1337,9.5007,24.310000000000002,20,12,4.09,LY,1698714286
132,alton,38.8906,-90.1843,3.2200000000000273,77,0,2.57,US,1698714201
133,puerto baquerizo moreno,-0.9,-89.6,23.33000000000004,80,100,4.51,EC,1698714182
134,kruisfontein,-34.0033,24.7314,10.730000000000018,91,0,3.28,ZA,1698714287
135,tongouson,5.0214,120.1328,28.439999999999998,70,100,0.82,PH,1698714287
136,kuanda,56.3161,116.0806,-11.019999999999982,48,57,0.6,RU,1698714287
137,tralee,52.2704,-9.7026,9.560000000000002,89,83,1.71,IE,1698714208
138,fort bragg,35.139,-79.006,23.79000000000002,65,0,3.6,US,1698714226
139,porto novo,6.4965,2.6036,26.25,84,91,1.38,BJ,1698714184
140,jamestown,42.097,-79.2353,4.770000000000039,85,100,5.66,US,1698714257
141,morehead city,34.7229,-76.726,23.0,90,0,4.63,US,1698714288
142,hamilton,39.1834,-84.5333,5.220000000000027,90,75,2.68,US,1698714175
143,nasir,15.5894,32.5634,32.450000000000045,23,91,6.01,SD,1698714288
144,ust-nera,64.5667,143.2,-13.449999999999989,99,100,2.12,RU,1698714289
145,tazovsky,67.4667,78.7,-17.18999999999997,97,34,2.15,RU,1698714289
